company_id,type,country,authority,registration_number
4336140,"CompanyRegistrationNumber","United Kingdom","Companies House","SL011031"
2101209,"CompanyRegistrationNumber","United Kingdom","Companies House","07093635"
864391,"CompanyRegistrationNumber","United Kingdom","Companies House","03545722"
4897286,"CompanyRegistrationNumber","United Kingdom","Companies House","08330291"
2104275,"CompanyRegistrationNumber","United Kingdom","Companies House","07098657"
3084394,"CompanyRegistrationNumber","United Kingdom","Companies House","SC177656"
3017719,"CompanyRegistrationNumber","United Kingdom","Companies House","OC311843"
2511204,"CompanyRegistrationNumber","United Kingdom","Companies House","07632384"
2923715,"CompanyRegistrationNumber","United Kingdom","Companies House","08072615"
2514305,"CompanyRegistrationNumber","United Kingdom","Companies House","07635824"
3553309,"CompanyRegistrationNumber","United Kingdom","Companies House","03820682"
3553309,"CompanyRegistrationNumber","United Kingdom","Companies House","06442299"
3553309,"CompanyRegistrationNumber","United Kingdom","Companies House","5688432"
4907536,"CompanyRegistrationNumber","United Kingdom","Companies House","08340916"
2434677,"CompanyRegistrationNumber","United Kingdom","Companies House","07547750"
5037247,"CompanyRegistrationNumber","United Kingdom","Companies House","08016568"
15112406,"CompanyRegistrationNumber","United Kingdom","Companies House","08675878"
2192077,"CompanyRegistrationNumber","United Kingdom","Companies House","07231592"
14818105,"CompanyRegistrationNumber","United Kingdom","Companies House","04329653"
12589425,"CompanyRegistrationNumber","","","12 094 225 073"
12589425,"CompanyRegistrationNumber","","","14 094 225 082"
12589425,"CompanyRegistrationNumber","","","16 094 225 091"
12589425,"CompanyRegistrationNumber","","","34 139 626 994"
12589425,"CompanyRegistrationNumber","","","45 090 513 849"
12589425,"CompanyRegistrationNumber","","","47 091 509 796"
12589425,"CompanyRegistrationNumber","","","64 094 218 443"
12589425,"CompanyRegistrationNumber","","","65 133 058 741"
12589425,"CompanyRegistrationNumber","","","79 135 424 878"
12589425,"CompanyRegistrationNumber","","","84 137 606 172"
12589425,"CompanyRegistrationNumber","","","99 094 225 064"
3025743,"CompanyRegistrationNumber","United Kingdom","Companies House","OC329443"
807151,"CompanyRegistrationNumber","United Kingdom","Companies House","03259493"
2900394,"CompanyRegistrationNumber","United Kingdom","Companies House","08048775"
13598904,"CompanyRegistrationNumber","United Kingdom","Companies House","08646790"
11222987,"CompanyRegistrationNumber","United Kingdom","Companies House","08436136"
2138885,"CompanyRegistrationNumber","United Kingdom","Companies House","07153865"
2646678,"CompanyRegistrationNumber","United Kingdom","Companies House","07780487"
13643326,"CompanyRegistrationNumber","United Kingdom","Companies House","04610446"
3459587,"CompanyRegistrationNumber","United Kingdom","Companies House","04921933"
446524,"CompanyRegistrationNumber","United Kingdom","Companies House","00318183"
12135326,"CompanyRegistrationNumber","United Kingdom","Companies House","08525394"
3527981,"CompanyRegistrationNumber","United Kingdom","Companies House","04656862"
1715131,"CompanyRegistrationNumber","United Kingdom","Companies House","06330403"
1278159,"CompanyRegistrationNumber","United Kingdom","Companies House","05044591"
4566146,"CompanyRegistrationNumber","United Kingdom","Companies House","08216317"
1927185,"CompanyRegistrationNumber","United Kingdom","Companies House","06784671"
1898941,"CompanyRegistrationNumber","United Kingdom","Companies House","06729287"
2738447,"CompanyRegistrationNumber","United Kingdom","Companies House","07879317"
3140150,"CompanyRegistrationNumber","United Kingdom","Companies House","SC329755"
1606254,"CompanyRegistrationNumber","United Kingdom","Companies House","06035694"
640353,"CompanyRegistrationNumber","United Kingdom","Companies House","02231871"
638446,"CompanyRegistrationNumber","United Kingdom","Companies House","02217353"
4469758,"CompanyRegistrationNumber","United Kingdom","Companies House","08192746"
4623491,"CompanyRegistrationNumber","United Kingdom","Companies House","03937803"
1009562,"CompanyRegistrationNumber","United Kingdom","Companies House","04181641"
2870413,"CompanyRegistrationNumber","United Kingdom","Companies House","08018033"
193738,"CompanyRegistrationNumber","United Kingdom","Companies House","00471228"
13548249,"CompanyRegistrationNumber","United Kingdom","Companies House","08594489"
1881277,"CompanyRegistrationNumber","United Kingdom","Companies House","06692979"
11690952,"CompanyRegistrationNumber","United Kingdom","Companies House","08477759"
873733,"CompanyRegistrationNumber","United Kingdom","Companies House","03592649"
3640462,"CompanyRegistrationNumber","United Kingdom","Companies House","02828293"
610127,"CompanyRegistrationNumber","United Kingdom","Companies House","01999993"
1917799,"CompanyRegistrationNumber","United Kingdom","Companies House","06766708"
3642502,"CompanyRegistrationNumber","United Kingdom","Companies House","01530388"
1506241,"CompanyRegistrationNumber","United Kingdom","Companies House","05753360"
5217150,"CompanyRegistrationNumber","","","40 069 396 792"
5217150,"CompanyRegistrationNumber","","","47 080 890 259"
5217150,"CompanyRegistrationNumber","","","71 059 950 695"
5217150,"CompanyRegistrationNumber","","","93 003 457 289"
5217150,"CompanyRegistrationNumber","","","94 138 752 815"
5217150,"CompanyRegistrationNumber","","","96 003 683 298"
5217150,"CompanyRegistrationNumber","","","99 078 934 791"
1368909,"CompanyRegistrationNumber","United Kingdom","Companies House","05337666"
14030103,"CompanyRegistrationNumber","","","23107132445"
4467561,"CompanyRegistrationNumber","United Kingdom","Companies House","08190447"
1372404,"CompanyRegistrationNumber","United Kingdom","Companies House","05349209"
485011,"CompanyRegistrationNumber","United Kingdom","Companies House","00811867"
9556204,"CompanyRegistrationNumber","United Kingdom","Companies House","07781602"
1448241,"CompanyRegistrationNumber","United Kingdom","Companies House","05581860"
2827342,"CompanyRegistrationNumber","United Kingdom","Companies House","07973811"
11223777,"CompanyRegistrationNumber","United Kingdom","Companies House","08436970"
11729169,"CompanyRegistrationNumber","United Kingdom","Companies House","SC417613"
